марка автомобиля;страна;год выпуска;стоимость
Toyota;Япония;2012;1 800 000,00 ₽
Toyota;Япония;2000;800 000,00 ₽
Volkswagen;Германия;2012;2 471 000,00 ₽
Volkswagen;Германия;2011;1 174 000,00 ₽
Tata Motors;Монголия;2010;713 000,00 ₽
Tata Motors;Монголия;2007;410 000,00 ₽
Honda;Англия;2010;6 460 000,00 ₽
Honda;Англия;2005;3 230 000,00 ₽
Tesla;США;2016;10 000 000,00 ₽
Tesla;США;2019;25 700 000,00 ₽
Porsche;Италия;2001;15 000 000,00 ₽
Lada;Россия;2007;309 999,00 ₽
Lada;Россия;2000;1 213 321,00 ₽
Porsche;Италия;2001;7 500 000,00 ₽
Tesla;США;2020;30 000 000,00 ₽
